location,code,year,metric,value
Philippines,PHL,2000,oops_che,41.19496918
Philippines,PHL,2000,oop_pc_usd,13.22482284
Philippines,PHL,2000,che_gdp,3.05512357
Philippines,PHL,2000,che_pc_usd,32.10300446
Philippines,PHL,2000,gghed_che,44.39830017
Philippines,PHL,2000,gghed_pc_usd,14.25318857
Philippines,PHL,2000,pvtd_che,52.06912994
Philippines,PHL,2000,gdp_pc_usd,1050.792389
Philippines,PHL,2001,oops_che,44.61747742
Philippines,PHL,2001,oop_pc_usd,12.31883018
Philippines,PHL,2001,che_gdp,2.84775972
Philippines,PHL,2001,che_pc_usd,27.60987473
Philippines,PHL,2001,gghed_che,40.60162354
Philippines,PHL,2001,gghed_pc_usd,11.21005716
Philippines,PHL,2001,pvtd_che,55.60748291
Philippines,PHL,2001,gdp_pc_usd,969.5296755
Philippines,PHL,2002,oops_che,47.76664352
Philippines,PHL,2002,oop_pc_usd,12.78711972
Philippines,PHL,2002,che_gdp,2.63767385
Philippines,PHL,2002,che_pc_usd,26.76997948
Philippines,PHL,2002,gghed_che,37.04242325
Philippines,PHL,2002,gghed_pc_usd,9.91624901
Philippines,PHL,2002,pvtd_che,60.12582779
Philippines,PHL,2002,gdp_pc_usd,1014.908626
Philippines,PHL,2003,oops_che,47.70053482
Philippines,PHL,2003,oop_pc_usd,15.07534073
Philippines,PHL,2003,che_gdp,3.07663488
Philippines,PHL,2003,che_pc_usd,31.60413551
Philippines,PHL,2003,gghed_che,36.21556473
Philippines,PHL,2003,gghed_pc_usd,11.4456153
Philippines,PHL,2003,pvtd_che,60.41436386
Philippines,PHL,2003,gdp_pc_usd,1027.230561
Philippines,PHL,2004,oops_che,47.77958298
Philippines,PHL,2004,oop_pc_usd,16.00812689
Philippines,PHL,2004,che_gdp,3.0468533
Philippines,PHL,2004,che_pc_usd,33.50411606
Philippines,PHL,2004,gghed_che,35.72317123
Philippines,PHL,2004,gghed_pc_usd,11.96873276
Philippines,PHL,2004,pvtd_che,60.37034988
Philippines,PHL,2004,gdp_pc_usd,1099.630094
Philippines,PHL,2005,oops_che,52.10651398
Philippines,PHL,2005,oop_pc_usd,23.80021041
Philippines,PHL,2005,che_gdp,3.74253035
Philippines,PHL,2005,che_pc_usd,45.67607498
Philippines,PHL,2005,gghed_che,33.09892654
Philippines,PHL,2005,gghed_pc_usd,15.11829055
Philippines,PHL,2005,pvtd_che,62.68798065
Philippines,PHL,2005,gdp_pc_usd,1220.459725
Philippines,PHL,2006,oops_che,54.03545761
Philippines,PHL,2006,oop_pc_usd,29.1113485
Philippines,PHL,2006,che_gdp,3.77762938
Philippines,PHL,2006,che_pc_usd,53.87452698
Philippines,PHL,2006,gghed_che,32.09132767
Philippines,PHL,2006,gghed_pc_usd,17.289051
Philippines,PHL,2006,pvtd_che,64.07989502
Philippines,PHL,2006,gdp_pc_usd,1426.146481
Philippines,PHL,2007,oops_che,55.9674263
Philippines,PHL,2007,oop_pc_usd,35.97532273
Philippines,PHL,2007,che_gdp,3.75318074
Philippines,PHL,2007,che_pc_usd,64.27903748
Philippines,PHL,2007,gghed_che,31.31670761
Philippines,PHL,2007,gghed_pc_usd,20.13007831
Philippines,PHL,2007,pvtd_che,66.73091888
Philippines,PHL,2007,gdp_pc_usd,1712.654977
Philippines,PHL,2008,oops_che,57.44991684
Philippines,PHL,2008,oop_pc_usd,43.4841669
Philippines,PHL,2008,che_gdp,3.86315918
Philippines,PHL,2008,che_pc_usd,75.69056702
Philippines,PHL,2008,gghed_che,30.13813972
Philippines,PHL,2008,gghed_pc_usd,22.81172799
Philippines,PHL,2008,pvtd_che,68.38460541
Philippines,PHL,2008,gdp_pc_usd,1959.291969
Philippines,PHL,2009,oops_che,55.57599258
Philippines,PHL,2009,oop_pc_usd,43.15219559
Philippines,PHL,2009,che_gdp,4.16451931
Philippines,PHL,2009,che_pc_usd,77.64539337
Philippines,PHL,2009,gghed_che,30.64958763
Philippines,PHL,2009,gghed_pc_usd,23.79799198
Philippines,PHL,2009,pvtd_che,67.02294159
Philippines,PHL,2009,gdp_pc_usd,1864.450315
Philippines,PHL,2010,oops_che,54.84585953
Philippines,PHL,2010,oop_pc_usd,49.00569002
Philippines,PHL,2010,che_gdp,4.13107872
Philippines,PHL,2010,che_pc_usd,89.35166931
Philippines,PHL,2010,gghed_che,31.90242386
Philippines,PHL,2010,gghed_pc_usd,28.5053484
Philippines,PHL,2010,pvtd_che,66.3050766
Philippines,PHL,2010,gdp_pc_usd,2162.913806
Philippines,PHL,2011,oops_che,58.89309311
Philippines,PHL,2011,oop_pc_usd,56.51214281
Philippines,PHL,2011,che_gdp,4.02518559
Philippines,PHL,2011,che_pc_usd,95.95716095
Philippines,PHL,2011,gghed_che,26.38143921
Philippines,PHL,2011,gghed_pc_usd,25.31488036
Philippines,PHL,2011,pvtd_che,72.66106415
Philippines,PHL,2011,gdp_pc_usd,2383.919076
Philippines,PHL,2012,oops_che,58.31450272
Philippines,PHL,2012,oop_pc_usd,63.68814486
Philippines,PHL,2012,che_gdp,4.17709208
Philippines,PHL,2012,che_pc_usd,109.2149353
Philippines,PHL,2012,gghed_che,26.28685188
Philippines,PHL,2012,gghed_pc_usd,28.70916754
Philippines,PHL,2012,pvtd_che,72.68632507
Philippines,PHL,2012,gdp_pc_usd,2614.616488
Philippines,PHL,2013,oops_che,57.57440186
Philippines,PHL,2013,oop_pc_usd,68.44118086
Philippines,PHL,2013,che_gdp,4.27408695
Philippines,PHL,2013,che_pc_usd,118.874321
Philippines,PHL,2013,gghed_che,26.21487999
Philippines,PHL,2013,gghed_pc_usd,31.16276143
Philippines,PHL,2013,pvtd_che,72.0422287
Philippines,PHL,2013,gdp_pc_usd,2781.279822
Philippines,PHL,2014,oops_che,52.37667847
Philippines,PHL,2014,oop_pc_usd,55.60461534
Philippines,PHL,2014,che_gdp,3.70313668
Philippines,PHL,2014,che_pc_usd,106.1629334
Philippines,PHL,2014,gghed_che,34.11355209
Philippines,PHL,2014,gghed_pc_usd,36.21594482
Philippines,PHL,2014,pvtd_che,64.39825439
Philippines,PHL,2014,gdp_pc_usd,2866.837964
Philippines,PHL,2015,oops_che,51.1785965
Philippines,PHL,2015,oop_pc_usd,58.05407426
Philippines,PHL,2015,che_gdp,3.8982749
Philippines,PHL,2015,che_pc_usd,113.4342804
Philippines,PHL,2015,gghed_che,37.6732254
Philippines,PHL,2015,gghed_pc_usd,42.73435278
Philippines,PHL,2015,pvtd_che,60.88589096
Philippines,PHL,2015,gdp_pc_usd,2909.858522
Philippines,PHL,2016,oops_che,50.49208069
Philippines,PHL,2016,oop_pc_usd,59.61085571
Philippines,PHL,2016,che_gdp,3.95484328
Philippines,PHL,2016,che_pc_usd,118.0598145
Philippines,PHL,2016,gghed_che,37.26403046
Philippines,PHL,2016,gghed_pc_usd,43.99384575
Philippines,PHL,2016,pvtd_che,60.47022247
Philippines,PHL,2016,gdp_pc_usd,2985.195754
Philippines,PHL,2017,oops_che,50.14805984
Philippines,PHL,2017,oop_pc_usd,60.33944939
Philippines,PHL,2017,che_gdp,3.96042776
Philippines,PHL,2017,che_pc_usd,120.3225937
Philippines,PHL,2017,gghed_che,37.43834305
Philippines,PHL,2017,gghed_pc_usd,45.04678679
Philippines,PHL,2017,pvtd_che,60.36769867
Philippines,PHL,2017,gdp_pc_usd,3038.121233
Philippines,PHL,2018,oops_che,50.4368515
Philippines,PHL,2018,oop_pc_usd,63.18585827
Philippines,PHL,2018,che_gdp,3.9538188
Philippines,PHL,2018,che_pc_usd,125.2771683
Philippines,PHL,2018,gghed_che,38.85680771
Philippines,PHL,2018,gghed_pc_usd,48.67870806
Philippines,PHL,2018,pvtd_che,60.83168793
Philippines,PHL,2018,gdp_pc_usd,3168.510512
Philippines,PHL,2019,oops_che,48.78687668
Philippines,PHL,2019,oop_pc_usd,69.12736773
Philippines,PHL,2019,che_gdp,4.16646004
Philippines,PHL,2019,che_pc_usd,141.6925354
Philippines,PHL,2019,gghed_che,40.60421753
Philippines,PHL,2019,gghed_pc_usd,57.53314736
Philippines,PHL,2019,pvtd_che,58.98988342
Philippines,PHL,2019,gdp_pc_usd,3400.78965
Philippines,PHL,2020,oops_che,44.56456757
Philippines,PHL,2020,oop_pc_usd,74.24999737
Philippines,PHL,2020,che_gdp,5.16214037
Philippines,PHL,2020,che_pc_usd,166.6121826
Philippines,PHL,2020,gghed_che,45.19945526
Philippines,PHL,2020,gghed_pc_usd,75.30780071
Philippines,PHL,2020,pvtd_che,54.06339264
Philippines,PHL,2020,gdp_pc_usd,3227.579359
Philippines,PHL,2021,oops_che,41.21797943
Philippines,PHL,2021,oop_pc_usd,85.8126508
Philippines,PHL,2021,che_gdp,5.97500563
Philippines,PHL,2021,che_pc_usd,208.192276
Philippines,PHL,2021,gghed_che,44.70307541
Philippines,PHL,2021,gghed_pc_usd,93.06838537
Philippines,PHL,2021,pvtd_che,50.22830963
Philippines,PHL,2021,gdp_pc_usd,3484.38623
Philippines,PHL,2022,oops_che,44.63491821
Philippines,PHL,2022,oop_pc_usd,81.65258714
Philippines,PHL,2022,che_gdp,5.15588379
Philippines,PHL,2022,che_pc_usd,182.9343262
Philippines,PHL,2022,gghed_che,45.0671196
Philippines,PHL,2022,gghed_pc_usd,82.44323226
Philippines,PHL,2022,pvtd_che,54.62223053
Philippines,PHL,2022,gdp_pc_usd,3548.069246
Philippines,PHL,2023,oops_che,44.36006165
Philippines,PHL,2023,oop_pc_usd,86.08284901
Philippines,PHL,2023,che_gdp,5.10122538
Philippines,PHL,2023,che_pc_usd,194.0548401
Philippines,PHL,2023,gghed_che,42.39336395
Philippines,PHL,2023,gghed_pc_usd,82.26637722
Philippines,PHL,2023,pvtd_che,57.51744843
Philippines,PHL,2023,gdp_pc_usd,3804.082852
