Year,OOP_Percentage
1960,
1961,
1962,
1963,
1964,
1965,
1966,
1967,
1968,
1969,
1970,
1971,
1972,
1973,
1974,
1975,
1976,
1977,
1978,
1979,
1980,
1981,
1982,
1983,
1984,
1985,
1986,
1987,
1988,
1989,
1990,
1991,
1992,
1993,
1994,
1995,
1996,
1997,
1998,
1999,41.19496918
2000,44.61747742
2001,47.76664352
2002,47.70053482
2003,47.77958298
2004,52.10651398
2005,54.03545761
2006,55.9674263
2007,57.44991684
2008,55.57599258
2009,54.84585953
2010,58.89309311
2011,58.31450272
2012,57.57440186
2013,52.37667847
2014,51.1785965
2015,50.49208069
2016,50.14805984
2017,50.4368515
2018,48.78687668
2019,44.56456757
2020,41.21797943
2021,44.63492584
2022,44.36002731
2023,
2024,
